Access Control,Alcohol Notalcohol,Area Type1,A Crash,A People,Basetypedesc,Begin Node Dsc,Belted Unbelted,Bikeage,Bikegen,Bikeinjurytype,Bikevehiclenumber,Bike Nonbike,BMP,B Crash,B People,Carspeedlimit,Collision Type,Comm Cargo Body Type Cd,Comm Vehicle Body Type Cd,Cotedrouteid,Coted Mp,Count App,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Crash Year,Curbgutterdesc,C Crash,C People,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,MAINLINE,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Clear,Calculation_9640323132123359,Day Of Week,Deer Nodeer,Direction Of Travel Cd,Distracted Notdistracted,VSP,TOTAL CRASH,Document Nbr,Driverage,Drivergen,Driverinjurytype,Drivervehiclenumber,Driver Action Type Cd,Driver Airbag Deployment,Driver Alcohol Test Type Cd,Driver Condition Type Cd,Driver Distraction Type Cd,Driver Drinking Type Cd,Driver Drug Use Cd,Driver Ejected From Vehicle,Driver Ems Transport Ind,Driver Fled Scene Ind,Driver Safety Equip Used,Driver Vis Obscured Type Cd,Drowsy Notdrowsy,Drug Nodrug,EMP,End Node,End Node Dsc,End Offset,Facility,FAC,First Crash Event Cd,First Harmful Event,Fourth Crash Event Cd,Functionalclass,FUN,Govcondesc,Gr Nogr,Hitrun Not Hitrun,Initial Veh Impact Area Cd,Injury Crashes,Intersection Type,Int Doc,Jurtype,K_CRASH,K People,LAT (copy),LAT,Leftshoulderwidth,Length,Lgtruck Nonlgtruck,Light Condition,Located Unlocated,LON (copy),LON,MAINLINE (group),Mainline Yn,Medianleftshoulderwidth,Medianrightshoulderwidth,Mediantypedesc,Medianwidthmax,Medianwidthmin,Median Type,Most Harmful Crash Event Cd,Motor Nonmotor,Node,Node Info,Node Totaadt2011,Node Totaadt2012,Node Totaadt2013,Node Totaadt2014,Node Totaadt2015,Numberoflane,Number of Records,Offset,Ownership,Passage,Passgen,Passinjurytype,Passvehiclenumber,Pass Airbag Deployment,Pass Ejected From Vehicle,Pass Ems Transport Ind,Pass Safety Equip Used,Pavementconditionvalue,Pavementroughnessvalue,Pavementwidth,Pdo Crash,Total People Killed & Injured,Pedage,Pedestrians Injured,Pedestrians Killed,Pedgen,Pedinjurytype,Pednumber,Ped Action,Ped Al Test,Ped Cond,Ped Drink,Ped Drug,Ped Nonped,Ped Rflct,Persons Injured,Persons Killed,Physical Juris Nm,PJR,VSP_Used,Rd Type,Relation To Roadway,Rightshoulderwidth,RNS_MP (0.25 mi bin),Rns Mp,Roadway Alignment,Roadway Defect,Roadway Description,Roadway Surface Cond,Roadway Surface Type,Route Or Street Nm,Rte Category Cd,Rte Cat,Rte Nm,Ruralurbandesc,School Zone,Second Crash Event Cd,Segtotaadt2011,Segtotaadt2012,Segtotaadt2013,Segtotaadt2014,Segtotaadt2015,Senior Notsenior,Sidewalkdesc,Speed Before,Speed Max Safe,Speed Notspeed,Speed Posted,Start Node,Start Offset,Summons Issued Cd,Surfacedesc,Third Crash Event Cd,Time Slicing,Total Crashes including Property Damage Only,Total Crash,Traffic Control Type,Trfc Ctrl Status Type,Truckcommr,Vehiclenumber,Vehicle Body Type Cd,Vehicle Make Nm,Vehicle Maneuver Type Cd,Vehicle Model Nm,Vehicle Year Nbr,District,District_Used ,Weather Condition,Work Zone Location,Work Zone Related,Work Zone Type,Young Notyoung
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),US-00058(B)/,Not UNBELTED,49,Male,B,1,BIKE,13.43,1,1,,2. Angle,Not ProvidedNot Provided,Not ProvidedNot Provided,SR00190,13.955,3,1/4/2011,1/4/2011,20. Motor Vehicle In Transport,610,B.Visiible Injury,2011,Left and Right sides,0,0,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,6AM TO 9AM,134.Virginia Beach,"1,716",Intersection,Reset Filters,VDOT_OTHER,Tuesday,Not DEER,SouthEast,,5,1,111050057,62,Male,"B,PDO","1,2","28. Driving Without Lights,1. No Improper Action","3. Unavailable/Not Applicable,1. Deployed - Front","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","Not Applicable,Not Applicable","2. Partially Ejected,1. Not Ejected","No,NotProvided","No,No","8. No Restraint Used,3. Lap and Shoulder Belt","1. Not Obscured,13. Other",,,14,541186,LAVENDER LANE(R)/,0,1,"1.Divided, no control of access","20,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"2,12",1,2. Two Approaches,111050057,C,0,0,36.852952,36.852952,0,0.64,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.153973,-76.153973,MAINLINE,MAIN,0,0,Curbed Grass,16,8,Divided Roadway,"20,22",Not MOTORCYCLE,541188,541188.  SR00190       SR00190      13408749,20258,18296,18464,17795,17531,4,1,0.325,PRI_URBAN,,,,,,,,,3,0,54,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,"15. Other Crossing (Crossing for Bikes, School, etc.)",0,13.75,13.95,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",527 n witchduck rd,STPRI,SR,R-VA   SR00190WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",18442,16730,16884,16272,15297,Not SENIOR,Left and Right sides,"5,5","5,5",Not SPEED,"35,25",541088,0,"2. No,2. No",0,"0,0",6AM TO 9AM,1,1,4. Stop Sign,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car","huffy,ford","1. Going Straight Ahead,3. Making Left Turn","bicycle,focus",2009,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),FAIRFIELD BLVD(L)/,Not UNBELTED,25,Male,B,1,BIKE,11.52,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00190,11.528,4,1/6/2011,1/6/2011,22. Bicycle,1715,B.Visiible Injury,2011,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,3PM TO 6PM,134.Virginia Beach,"2,101",Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"North,South",,5,1,111050063,,Male,"B,PDO","1,2","1. No Improper Action,34. Hit and Run","3. Unavailable/Not Applicable,Not Provided","Not Applicable,Not Applicable","1. No Defects,9. Unknown","Not Applicable,Not Applicable","1. Had Not Been Drinking,6. Unknown","2. No,3. Unknown","1. Not Ejected,Not Provided","No,NotProvided","No,Yes","9. Not Applicable,9. Not Applicable","1. Not Obscured,Not Applicable",,,12,541148,SR-00165(B)/,0,1,"1.Divided, no control of access","20,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,HIT_RUN,"3,1",1,4. Four Approaches,111050063,C,0,0,36.822306,36.822306,0,0.59,Not LRTRUCK,3. Dusk,LOCATED,-76.161762,-76.161762,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"20,22",Not MOTORCYCLE,541174,541174.  SR00190       SR00190      13400010      13408640,48566,44998,45413,43765,44158,4,1,0.398,PRI_URBAN,,,,,,,,,0,265,54,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,0,11.5,11.53,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",kempsvillr rd,STPRI,SR,R-VA   SR00190WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",31529,29632,29906,28820,27832,Not SENIOR,Left and Right sides,"2,0","35,0",Not SPEED,"35,0",541176,0,"2. No,Not Provided",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car",giant,"1. Going Straight Ahead,2. Making Right Turn",defy 3,2009,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Penetration Macadam and Water Bound Macadam,REPUBLIC ROAD(L)/LAUREL LANE(R)/,Not UNBELTED,17,Male,C,2,BIKE,0.76,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13400009,0.76,4,1/6/2011,1/6/2011,20. Motor Vehicle In Transport,1930,C.Non-Visible Injury,2011,Left and Right sides,1,1,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,6PM TO 9PM,134.Virginia Beach,898,Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"North,East",DISTRACTED,5,1,111050064,73,Male,"PDO,C","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","11. Other,11. Other","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","NotProvided,Yes","No,No","3. Lap and Shoulder Belt,6. Other","1. Not Obscured,1. Not Obscured",,,1,541257,134-08714(L)/WOLFSNARE RD,0,1,"1.Divided, no control of access","20,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,3",1,4. Four Approaches,111050064,C,0,0,36.853072,36.853072,0,0.19,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.022658,-76.022658,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"20,20",Not MOTORCYCLE,541066,541066.  US00058       US00058      13400009      13400009,63023,61504,62556,60804,62575,4,1,0.17,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,0,0.75,0.75,2. Curve - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",799 first colonial rd,URB,UR,R-VA134UR00009NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",36525,34557,34876,33610,35142,SENIOR,Left and Right sides,"30,3","35,35",Not SPEED,"35,35",734938,0,"Not Provided,1. Yes",0,"0,0",6PM TO 9PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","dodge,fuju","1. Going Straight Ahead,15. Other","journey,bicycle",20092007,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,14,Male,C,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,1/8/2011,1/8/2011,22. Bicycle,1624,C.Non-Visible Injury,2011,,1,1,Newport News,Urban,22. Bicycle,MAIN,3PM TO 6PM,121.Newport News,,Not Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"South,East",,5,1,111640067,40,Male,"PDO,C","1,2","17. Other Improper Turn,3. Exceeded Safe Speed But Not Speed Limit","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,Not Applicable","Not Applicable,Not Applicable","Not Applicable,Not Applicable","Not Applicable,Not Applicable","1. Not Ejected,3. Totally Ejected","No,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,9",1,4. Four Approaches,,C,0,0,37.10546,37.10546,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.498278,-76.498278,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Newport News,121,5,NOT-RD,10. Intersection Related - Within 150 Feet,,,,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",HQ WAY,UNKWN,SC,U-VA121SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"5,5","35,0",SPEED,"35,0",,,"1. Yes,2. No",,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,,"1,2","2. Truck - Pick-up/Passenger Truck,9. Bicycle",DODGE,"2. Making Right Turn,1. Going Straight Ahead",RAM 1500,1998,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",124-08606(R)/AFTON PKWY,Not UNBELTED,44,Not Provided,C,2,BIKE,25.65,0,0,,1. Rear End,"Not Provided,Not Provided","Not Provided,Not Provided",US00017,25.656,3,1/11/2011,1/11/2011,22. Bicycle,1330,C.Non-Visible Injury,2011,Left and Right sides,1,1,Portsmouth,Urban,22. Bicycle,MAIN,12PM TO 3PM,124.Portsmouth,655,Intersection,Reset Filters,VDOT_OTHER,Tuesday,Not DEER,"East,East",DISTRACTED,5,1,120585198,,Not Provided,"PDO,C","1,2","34. Hit and Run,1. No Improper Action","Not Provided,3. Unavailable/Not Applicable","Not Applicable,4. No Test","9. Unknown,Not Applicable","6. Cell Phone,Not Applicable","6. Unknown,6. Unknown","3. Unknown,3. Unknown","Not Provided,1. Not Ejected","No,No","Yes,No","Not Provided,9. Not Applicable","Not Applicable,1. Not Obscured",,,26,483086,124-08540(L)/GREENWOOD DR,0,0,"0.Two-way, non-divided","22,22",1. On Roadway,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,HIT_RUN,"1,6",1,1. Not at Intersection,120585198,C,0,0,36.804842,36.804842,0,0.13,Not LRTRUCK,2. Daylight,LOCATED,-76.321284,-76.321284,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,22",Not MOTORCYCLE,483086,483086.  US00017       US00017      12408540,27156,28053,26395,24772,25667,4,1,0.124,PRI_URBAN,,,,,,,,,0,188,56,0,1,,0,0,,,,,,,,,Not PED,,1,0,Portsmouth,124,5,NOT-RD,1. Main-Line Roadway,0,25.5,25.66,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",2. Wet,"2. Blacktop, Asphalt, Bituminous",4100 GEORGE WASHINGTON HWY,USPRI,US,R-VA   US00017NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",24625,25523,26422,22408,23257,Not SENIOR,Left and Right sides,"0,5","35,35",Not SPEED,"35,35",483087,0.14,"Not Provided,Not Provided",0,"0,0",12PM TO 3PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,Designated Truck Route - D2,"1,2","1. Passenger car,9. Bicycle",,"1. Going Straight Ahead,1. Going Straight Ahead",,0,5,5.Hampton Roads,5. Rain,Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,20,Male,C,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,4,1/15/2011,1/15/2011,22. Bicycle,1923,C.Non-Visible Injury,2011,,1,1,Virginia Beach,Urban,22. Bicycle,MAIN,6PM TO 9PM,134.Virginia Beach,0,Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"North,East",,5,1,110820011,30,Male,"PDO,C","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","NotProvided,Yes","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","11. Moving Vehicle(s),1. Not Obscured",,,,,,,1,,"22,20",1. On Roadway,"0,0",H,,,Not GUARDRAIL,Not HIT_RUN,"12,4",1,4. Four Approaches,110820011,C,0,0,36.800037,36.800037,,,Not LRTRUCK,4. Darkness - Road Lighted,UNLOCATED,-76.085933,-76.085933,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,541275,541275. 13400012      13400012      13400014      13408717,57323,59152,59698,57532,59080,,1,0,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,,6.5,6.68,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",1100 lynnhaven pw,URB,UR,R-VA134UR08717EB,,3. No,"0,0",,,,,,Not SENIOR,,"30,0","45,0",Not SPEED,"45,0",,,"2. No,2. No",,"0,0",6PM TO 9PM,1,1,3. Traffic Signal,1. Yes - Working,,"1,2","22. Truck - Sport Utility Vehicle (SUV),9. Bicycle",ford,"1. Going Straight Ahead,1. Going Straight Ahead",explorer,2007,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
,ALCOHOL,Urban,0,0,,,Not UNBELTED,,Female,B,2,BIKE,,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,1/23/2011,1/23/2011,22. Bicycle,1145,B.Visiible Injury,2011,,0,0,Chesapeake,Urban,22. Bicycle,MAIN,9AM TO 12PM,131.Chesapeake,,Not Intersection,Reset Filters,VDOT_OTHER,Sunday,Not DEER,"East,North",,5,1,110810052,55,Female,"PDO,B","1,2","Not Applicable,Not Applicable","2. Not Deployed,3. Unavailable/Not Applicable","1. Blood,Not Applicable","1. No Defects,8. Other","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","Not Applicable,Not Applicable","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","13. Other,Not Applicable",,,,,,,,,"22,20","8. Off Roadway, Location Unknown","0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,9",1,3. Three Approaches,,C,0,0,36.769871,36.769871,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.335013,-76.335013,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Chesapeake,131,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,9. Other,5. Unknown,1. Dry,"2. Blacktop, Asphalt, Bituminous",devonshire dr,UNKWN,SC,U-VA131SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"5,5","0,0",SPEED,"0,0",,,"2. No,2. No",,"0,0",9AM TO 12PM,1,1,11. Railroad Crossing With Signals,6. No Traffic Control Device Present,,"1,2","2. Truck - Pick-up/Passenger Truck,9. Bicycle","cadillac,huffy","3. Making Left Turn,Not Applicable","escalade,bicyclce",20072000,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),SR-00190(L)/134-08698(R)/,Not UNBELTED,20,Not Provided,C,2,BIKE,2.15,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00225,2.15,4,1/26/2011,1/26/2011,22. Bicycle,1005,C.Non-Visible Injury,2011,Left and Right sides,1,1,Virginia Beach,Urban,22. Bicycle,MAIN,9AM TO 12PM,134.Virginia Beach,0,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"East,North",,5,1,110870607,26,Not Provided,"PDO,C","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","Not Applicable,Not Applicable","Not Applicable,Not Applicable","1. Not Ejected,2. Partially Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,2,541194,134-08683(B)/,0,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,9",1,4. Four Approaches,110870607,C,0,0,36.862151,36.862151,0,0.23,Not LRTRUCK,2. Daylight,LOCATED,-76.132569,-76.132569,MAINLINE,MAIN,6,6,Grass/Unprotected,16,4,Divided Roadway,"22,20",Not MOTORCYCLE,541205,541205.  SR00190       SR00225       SR00225      13408698,57661,55396,55735,54348,54198,6,1,0,PRI_URBAN,,,,,,,,,0,115,76,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,10. Intersection Related - Within 150 Feet,0,2,2.14,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",2. Wet,"2. Blacktop, Asphalt, Bituminous",699 INDEPENDENCE BLVD,STPRI,SR,R-VA   SR00225SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",50491,47214,47482,46377,46649,Not SENIOR,Left and Right sides,"5,36","0,10",SPEED,"35,0",541205,0,"1. Yes,2. No",0,"0,0",9AM TO 12PM,1,1,8. Yield Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","NISS,SCHWIN","2. Making Right Turn,1. Going Straight Ahead","ALTIMA,BICYCLE",2008,5,5.Hampton Roads,5. Rain,Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,1,1,Bituminous Concrete (Black Base),LONGSTREET AVE(R)/,Not UNBELTED,19,Female,A,2,BIKE,2.73,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408723,2.751,3,1/28/2011,1/28/2011,22. Bicycle,1330,A.Ambulatory Injury,2011,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,12PM TO 3PM,134.Virginia Beach,48,Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"Not Provided,Not Provided",,5,1,110870780,20,Female,"PDO,A","1,2","1. No Improper Action,37. Other","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","11. Moving Vehicle(s),11. Moving Vehicle(s)",,,3,542019,134-08724(R)/SOUTHERN BLVD(L)/,0,1,"1.Divided, no control of access","22,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"9,12",1,4. Four Approaches,110870780,C,0,0,36.837886,36.837886,0,0.03,Not LRTRUCK,2. Daylight,LOCATED,-75.998801,-75.998801,MAINLINE,MAIN,0,0,Grass/Unprotected,14,3,Divided Roadway,"22,22",Not MOTORCYCLE,542019,542019. 13408723      13408723      13408724,17300,19878,20062,19334,19644,4,1,0.009,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,1. Main-Line Roadway,0,2.75,2.75,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",101 N BIRDNECK RD,URB,UR,R-VA134UR08723NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",11644,13955,14084,13573,13770,Not SENIOR,Left and Right sides,"8,3","35,35",Not SPEED,"35,35",542018,0,"1. Yes,1. Yes",0,"0,0",12PM TO 3PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","22. Truck - Sport Utility Vehicle (SUV),9. Bicycle",JEEP,"3. Making Left Turn,1. Going Straight Ahead","WRANGLER,BICYCLE",1998,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
,ALCOHOL,Urban,0,0,,,Not UNBELTED,61,Male,C,1,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,1/28/2011,1/28/2011,22. Bicycle,1559,C.Non-Visible Injury,2011,,1,1,Norfolk,Urban,22. Bicycle,MAIN,3PM TO 6PM,122.Norfolk,,Not Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"South,West",,5,1,110950196,47,Male,"C,PDO","1,2","22. Disregarded Stop or Yield Sign,1. No Improper Action","Not Provided,2. Not Deployed","4. No Test,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","2. Drinking - Obviously Drunk,1. Had Not Been Drinking","Not Applicable,Not Applicable","Not Provided,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,,,,,,,"20,22",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,4",1,4. Four Approaches,,C,0,0,36.870698,36.870698,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.285146,-76.285146,MAINLINE,,,,,,,,"20,22",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,1. Main-Line Roadway,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",2500 BLK OMOHUADRO AVE,UNKWN,SC,U-VA122SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"10,35","25,35",Not SPEED,"25,35",,,"1. Yes,2. No",,"0,0",3PM TO 6PM,1,1,4. Stop Sign,1. Yes - Working,,"1,2","9. Bicycle,2. Truck - Pick-up/Passenger Truck",FORD,"1. Going Straight Ahead,1. Going Straight Ahead","BICYCLE,F-150",1996,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
